bboalert,2,ler
1CDb--1D--1N--2N--,3D,3+!H's
1CDb--1D--1N--2N--,3H,3+!s's
1CDb--1D--1N--2N--,3N,accept invitation with 3+!H's-3+!S's | tend to play NT contract
1CDb--1D--1N--2N--,3S,accept invitation | tend to play NT contract
1CDb--1D--1N--2N--,--,Reject invitation
1CDb--1D--1N--,2S,To Play
1CDb--1D--1N--,3C,invitation with 5+!H & 5+!S
1CDb--1D--1N--3C--,3D,fit to !H | deny invitation
1CDb--1D--1N--3C--,3H,fit to !S | deny invitation
1CDb--1D--1N--3C--,3N,no fit to any of the major suits
1CDb--1D--1N--3C--,4C,fit to both !S & !H
1CDb--1D--1N--3C--,4D,fit to !H
1CDb--1D--1N--3C--,4H,fit to !s
1CDb--1D--1N--,3D,GF in any of the major suits
1CDb--1D--1N--3D--,3H,fit to !s
1CDb--1D--1N--3D--,3N,no fit to any of the major suits
1CDb--1D--1N--3D--,3S,fit to !H
1CDb--1D--1N--3D--,4D,fit to both !S & !H
1CDb--1D--1N--,3H,invitation for game in !h
1CDb--1D--1N--,3N,To Play
1CDb--1D--1N--,3S,invitation for game in !S
1CDb--1D--1N--,4N,Quantitative
1CDb--1D--1N--,--,To Play
1CDb--1D--,1S,4+!S-5+!D | 14-16 HCP
1CDb--1D--,2C,17+HCP
1CDb--1D--,2D,12-16 HCP
1CDb--1D--,2H,4!h-5+!D | 17+HCP
1CDb--1D--,2S,4!S-5+!D | 17+HCP
1CDb--,1H,0-7  HCP
1CDb--,1N,0-7  HCP | balanced hand
1CDb--,1S,0-7  HCP
1CDb--,2C,Stayman | any 4-card major
1CDb--,2D,search for minor suits
1CDb--2D--,2H,3+!C 's or a top honor card in !C
1CDb--2D--2H--,3C,To Play
1CDb--2D--2H--,3D,To Play
1CDb--2D--2H--,3N,To Play
1CDb--2D--,2N,Please read chat#Both !C & !D suits are 4+ pieces and/or having at least one top honor card in these
1CDb--2D--2N--,3N,To Play
1CDb--2D--,2S,3+!d 's or a top honor card in !d
1CDb--2D--2S--,3C,To Play
1CDb--2D--2S--,3D,To Play
1CDb--2D--2S--,3N,To Play
1CDb--,2H,8-9 HCP
1CDb--,2N,no-4-card major suit
1CDb--2N--,3C,3+!H-3+!S | more willing to play a major contract
1CDb--2N--,3D,3+!H | accepting invitation
1CDb--2N--,3H,3+!s | accepting invitation
1CDb--2N--,3N,43-3!S3!H hand | more willing to play an NT contract
1CDb--2N--,--,To Play
1CDb--,2S,8-9 HCP
1CDb--,3C,5!S-5!H
1CDb--3C--,3D,decline invitation with !H fit
1CDb--3C--,3H,decline invitation with !s fit
1CDb--3C--,3N,To Play with no major suit fit
1CDb--3C--,4C,accepting invitation with both !H & !S fit
1CDb--3C--,4D,accepting invitation with !H fit
1CDb--3C--,4H,accepting invitation with !S fit
1CDb--,3D,any 5+-card major suit
1CDb--3D--,3H,!S fit
1CDb--3D--,3N,no fit to any of the majors suits
1CDb--3D--,3S,!H fit
1CDb--3D--,4D,fit to both !H and !S
1CDb--,3H,
1CDb--,3N,To Play
1CDb--,3S,
1CDb--,4C,Gerber
1CDb--,4H,To Play
1CDb--,4S,To Play
1C--1H,1N,5!d-4!s | 10-13 HCP
1C--1S,1N,5!d-4!H | 10-13 HCP
Error *001CP1S=NYYYYYY000|1C--,1S,
Error *001CP1SP2C=NYYYYYY000|1C--1S--,2C,
Error *001CP1SP2CP4S=NYYYYYY000|1C--1S--2C--,4S,
1D,1H,5+!s's | 6-16 HCP
1D1H--,1N,8-11 HCP | balanced hand
1D1H--,1S,0-7  HCP
1D1H--1S--,1N,15-17 HCP | balanced hand
1D1H--1S--,2C,17+HCP
1D1H--1S--,2D,5!s-4+!d | 14-16 HCP
1D1H--1S--,2H,5!s-4+!h | 14-16 HCP
1D1H--1S--,2S,14-16 HCP
1D1H--1S--,3C,5+!s-5+!C | 17+ HCP
1D1H--1S--,3D,5+!s-5+!d | 17+ HCP
1D1H--1S--,3H,5+!s-5+!H | 17+ HCP
1D1H--,2C,12+ HCP
1D1H--,2D,10-11 HCP
1D1H--,2H,10-11 HCP
1D1H--,2N,12-14 HCP | balanced hand
1D1H--,2S,8-11 HCP
1D1H--,3C,Asking stopper in !c
1D1H--,3D,asking stopper in !d
1D1H--,3S,To Play
1D,1N,2-suited hand or 5+!c's | 11-16 HCP
1D1N--,2C,0-7 HCP | Asking about hand
1D1N--2C--,2D,5-8 or 16+ HCP | 5(!h/!s)-4+(!s/!h)
1D1N--2C--2D--,2H,To Play
1D1N--2C--2D--,2N,8-9 HCP
1D1N--2C--2D--,2S,To Play
1D1N--2C--2D--,3C,transfer to 3!d for major fit
1D1N--2C--2D--3C--,3D,Automatic
1D1N--2C--2D--3C--3D--,3H,slam try in !H | asking about cues
1D1N--2C--2D--3C--3D--,3S,slam try in !s | asking about cues
1D1N--2C--2D--,3D,9-10
1D1N--2C--2D--,3H,7-8 HCP
1D1N--2C--2D--,3N,To Play
1D1N--2C--2D--,3S,7-8 HCP
1D1N--2C--2D--,4D,asking about key-cards
1D1N--2C--2D--,4H,To Play
1D1N--2C--2D--,4S,To Play
1D1N--2C--2D--,5D,To Play
1D1N--2C--2D--,--,To Play
1D1N--2C--,2H,17-18 HCP | 5!H-4+!C
1D1N--2C--,2N,19+HCP | 5(!H/!s)-4+!c
1D1N--2C--,2S,17-18 HCP | 5!s-4+!C
1D1N--2C--,--,5+!c | 11-12 HCP
1D1N--,2D,8+ HCP | asking about hand
1D1N--2D--,2H,5!h-5!s | 5-8 HCP
1D1N--2D--,2N,17+HCP | 5!H-4+!C
1D1N--2D--,2S,17+HCP | 5!s-4+!C
1D1N--2D--,3C,5+!c's | 11-16 HCP
1D1N--2D--,3D,5!h-5!s | 16+ HCP
1D1N--,2N,10-12 HCP with !d stopper | no 3-card !H/!S's
1D,1S,5+!H's | 8-16 HCP
1D1S--,2H,relay
1D1S--2H--,3D,6+!h | 17+HCP
1D,2C,14+HCP | 3-suited hand or 17+HCP 4(!H/!S)-5!c
1D2C--,2D,6+ HCP | asking about hand
1D2C--2D--,2H,14-18 HCP 4!S4!H4!c1!d or 17-19 HCP 4!h-5!c
1D2C--2D--,2N,20+HCP | 4(!H/!s)-5+!d
1D2C--2D--,2S,17-19 HCP | 4!s-5!c
1D2C--2D--,3C,19+ HCP 4!S4!H4!c1!d
1D2C--,2H,0-5 HCP | PASS / CORRECT to 2!S
1D,2D,17+HCP | 6+(!D/!h/!s)
1D2D--,2H,asking about long suit | 0-6 HCP
1D2D--2H--,2N,6+!h's | 17+ HCP
1D2D--2H--,2S,6+!s's | 17+ HCP
1D2D--2H--,3C,6+!c's | 17+ HCP
1D2D--2H--,3D,6+!d's | 17+ HCP
1D2D--,2N,asking about long suit with !d stopper | 7+HCP
1D2D--,2S,asking about long suit | 7+HCP
1D,2H,weak
1D,2N,6-10 HCP | 5+!h-5+!c
1D,2S,weak
1D,3C,6-10 HCP | 5+!s-5+!C
1D,Db,16+ HCP balanced | 1NT overcall hand or more
1DDb--,1D,0-7 HCP
1DDb--1D--,1H,4+!h-5+!D | 14-16 HCP
1DDb--1D--,1N,18-19 HCP | balanced hand
1DDb--1D--1N--,2C,asking about 4-card major
1DDb--1D--1N--2C--,2D,no 4-card major
1DDb--1D--1N--2C--2D--,2H,0-7 HCP | 4+!H-4+!S | pass / correct 
1DDb--1D--1N--2C--2D--,2N,0-7 HCP | 6+!c's with 4M
1DDb--1D--1N--2C--2D--2N--,3C,Automatic
1DDb--1D--1N--2C--2D--2N--3C--,3H,4!H-6!C
1DDb--1D--1N--2C--2D--2N--3C--,3S,4!S-6!C
1DDb--1D--1N--2C--2D--2N--3C--,4C,asking key cards in !C's
1DDb--1D--1N--2C--2D--,2S,invitation for 3NT
1DDb--1D--1N--2C--2D--2S--,2N,no interest in game
1DDb--1D--1N--2C--2D--2S--2N--,3C,To Play | 8-9 HCP
